ST_CD,MAJCAT,MERCHCAT,BODY,MC_BODY_CONT_1,MC_BODY_CONT_2,MC_BODY_CONT_3,MC_BODY_CONT_4,MC_BODY_CONT_5,MC_BODY_CONT_6,MC_BODY_CONT_7,MC_BODY_CONT_8,MC_BODY_CONT_9,MC_BODY_CONT_10,MC_BODY_CONT_11,MC_BODY_CONT_12
HB31,M_JEANS,M_COL_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB31,M_JEANS,M_COL_JEANS,KNIT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB31,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB31,M_JEANS,M_COL_JEANS,PLN_BODY,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%
HB31,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB31,M_JEANS,M_COL_JEANS,R_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB31,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB31,M_JEANS,M_JGR_JEANS,5_PKT,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HB31,M_JEANS,M_JGR_JEANS,C&S,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
HB31,M_JEANS,M_JGR_JEANS,C_PKT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB31,M_JEANS,M_JGR_JEANS,CARGO,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB31,M_JEANS,M_JGR_JEANS,CRG_PKT,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HB31,M_JEANS,M_JGR_JEANS,CRS_PKT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB31,M_JEANS,M_JGR_JEANS,PLN_BODY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB31,M_JEANS,M_JGR_JEANS,R_FIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB32,M_JEANS,M_BLK_JEANS,5_PKT,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%
HB32,M_JEANS,M_BLK_JEANS,A_FIT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB32,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_BLK_JEANS,PLN_BODY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB32,M_JEANS,M_BLK_JEANS,R_FIT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB32,M_JEANS,M_BLK_JEANS,RN,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HB32,M_JEANS,M_BLU_JEANS,5_PKT,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%
HB32,M_JEANS,M_BLU_JEANS,A_FIT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB32,M_JEANS,M_BLU_JEANS,KNIT,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HB32,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_BLU_JEANS,PLN_BODY,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%
HB32,M_JEANS,M_BLU_JEANS,R_FIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB32,M_JEANS,M_COL_JEANS,5_PKT,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%
HB32,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_COL_JEANS,A_FIT,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HB32,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_COL_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_COL_JEANS,KNIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB32,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_COL_JEANS,PLN_BODY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB32,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB32,M_JEANS,M_COL_JEANS,R_FIT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB32,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_JGR_JEANS,5_PKT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB32,M_JEANS,M_JGR_JEANS,C&S,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
HB32,M_JEANS,M_JGR_JEANS,C_PKT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB32,M_JEANS,M_JGR_JEANS,CARGO,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB32,M_JEANS,M_JGR_JEANS,CRG_PKT,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%
HB32,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_JGR_JEANS,PLN_BODY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB32,M_JEANS,M_JGR_JEANS,R_FIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB34,M_JEANS,M_BLK_JEANS,5_PKT,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%
HB34,M_JEANS,M_BLK_JEANS,A_FIT,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
HB34,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB34,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB34,M_JEANS,M_BLK_JEANS,PLN_BODY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB34,M_JEANS,M_BLK_JEANS,R_FIT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB34,M_JEANS,M_BLK_JEANS,RN,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB34,M_JEANS,M_BLU_JEANS,5_PKT,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%
HB34,M_JEANS,M_BLU_JEANS,A_FIT,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB34,M_JEANS,M_BLU_JEANS,KNIT,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB34,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB34,M_JEANS,M_BLU_JEANS,PLN_BODY,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB34,M_JEANS,M_BLU_JEANS,R_FIT,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HB34,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB34,M_JEANS,M_COL_JEANS,5_PKT,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%
HB34,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB34,M_JEANS,M_COL_JEANS,A_FIT,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HB34,M_JEANS,M_COL_JEANS,C_PKT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB34,M_JEANS,M_COL_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB34,M_JEANS,M_COL_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB34,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB34,M_JEANS,M_COL_JEANS,PLN_BODY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB34,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB34,M_JEANS,M_COL_JEANS,R_FIT,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HB34,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB34,M_JEANS,M_JGR_JEANS,5_PKT,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HB34,M_JEANS,M_JGR_JEANS,C&S,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HB34,M_JEANS,M_JGR_JEANS,C_PKT,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB34,M_JEANS,M_JGR_JEANS,CARGO,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HB34,M_JEANS,M_JGR_JEANS,CRG_PKT,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HB34,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB34,M_JEANS,M_JGR_JEANS,PLN_BODY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB34,M_JEANS,M_JGR_JEANS,R_FIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB35,M_JEANS,M_BLK_JEANS,5_PKT,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%
HB35,M_JEANS,M_BLK_JEANS,A_FIT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB35,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB35,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB35,M_JEANS,M_BLK_JEANS,PLN_BODY,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%
HB35,M_JEANS,M_BLK_JEANS,R_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB35,M_JEANS,M_BLK_JEANS,RN,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB35,M_JEANS,M_BLU_JEANS,5_PKT,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%
HB35,M_JEANS,M_BLU_JEANS,A_FIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB35,M_JEANS,M_BLU_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB35,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB35,M_JEANS,M_BLU_JEANS,PLN_BODY,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%
HB35,M_JEANS,M_BLU_JEANS,R_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB35,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB35,M_JEANS,M_COL_JEANS,5_PKT,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%
HB35,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB35,M_JEANS,M_COL_JEANS,A_FIT,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HB35,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB35,M_JEANS,M_COL_JEANS,DBY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB35,M_JEANS,M_COL_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB35,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB35,M_JEANS,M_COL_JEANS,PLN_BODY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB35,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB35,M_JEANS,M_COL_JEANS,R_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB35,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB35,M_JEANS,M_JGR_JEANS,5_PKT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB35,M_JEANS,M_JGR_JEANS,C&S,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%
HB35,M_JEANS,M_JGR_JEANS,C_PKT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB35,M_JEANS,M_JGR_JEANS,CARGO,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB35,M_JEANS,M_JGR_JEANS,CRG_PKT,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%
HB35,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB35,M_JEANS,M_JGR_JEANS,PLN_BODY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB35,M_JEANS,M_JGR_JEANS,R_FIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB36,M_JEANS,M_BLK_JEANS,5_PKT,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%
HB36,M_JEANS,M_BLK_JEANS,A_FIT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB36,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB36,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB36,M_JEANS,M_BLK_JEANS,PLN_BODY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB36,M_JEANS,M_BLK_JEANS,R_FIT,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HB36,M_JEANS,M_BLK_JEANS,RN,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB36,M_JEANS,M_BLU_JEANS,5_PKT,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%
HB36,M_JEANS,M_BLU_JEANS,A_FIT,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB36,M_JEANS,M_BLU_JEANS,KNIT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB36,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB36,M_JEANS,M_BLU_JEANS,PLN_BODY,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HB36,M_JEANS,M_BLU_JEANS,R_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB36,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB36,M_JEANS,M_COL_JEANS,5_PKT,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%
HB36,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB36,M_JEANS,M_COL_JEANS,A_FIT,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HB36,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB36,M_JEANS,M_COL_JEANS,DBY,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB36,M_JEANS,M_COL_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB36,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB36,M_JEANS,M_COL_JEANS,PLN_BODY,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB36,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB36,M_JEANS,M_COL_JEANS,R_FIT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB36,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB36,M_JEANS,M_JGR_JEANS,5_PKT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB36,M_JEANS,M_JGR_JEANS,C&S,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HB36,M_JEANS,M_JGR_JEANS,C_PKT,37%,37%,37%,37%,37%,37%,37%,37%,37%,37%,37%,37%
HB36,M_JEANS,M_JGR_JEANS,CARGO,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB36,M_JEANS,M_JGR_JEANS,CRG_PKT,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HB36,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB36,M_JEANS,M_JGR_JEANS,PLN_BODY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB36,M_JEANS,M_JGR_JEANS,R_FIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB37,M_JEANS,M_BLK_JEANS,5_PKT,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%
HB37,M_JEANS,M_BLK_JEANS,A_FIT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB37,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB37,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB37,M_JEANS,M_BLK_JEANS,PLN_BODY,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%
HB37,M_JEANS,M_BLK_JEANS,R_FIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB37,M_JEANS,M_BLK_JEANS,RN,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB37,M_JEANS,M_BLU_JEANS,5_PKT,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%
HB37,M_JEANS,M_BLU_JEANS,A_FIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB37,M_JEANS,M_BLU_JEANS,KNIT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB37,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB37,M_JEANS,M_BLU_JEANS,PLN_BODY,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
HB37,M_JEANS,M_BLU_JEANS,R_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB37,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB37,M_JEANS,M_COL_JEANS,5_PKT,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%
HB37,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB37,M_JEANS,M_COL_JEANS,A_FIT,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB37,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB37,M_JEANS,M_COL_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB37,M_JEANS,M_COL_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB37,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB37,M_JEANS,M_COL_JEANS,PLN_BODY,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%,30%
HB37,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB37,M_JEANS,M_COL_JEANS,R_FIT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB37,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB37,M_JEANS,M_JGR_JEANS,5_PKT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB37,M_JEANS,M_JGR_JEANS,C&S,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%
HB37,M_JEANS,M_JGR_JEANS,C_PKT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB37,M_JEANS,M_JGR_JEANS,CARGO,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB37,M_JEANS,M_JGR_JEANS,CRG_PKT,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%,35%
HB37,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB37,M_JEANS,M_JGR_JEANS,PLN_BODY,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB37,M_JEANS,M_JGR_JEANS,R_FIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB38,M_JEANS,M_BLK_JEANS,5_PKT,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%
HB38,M_JEANS,M_BLK_JEANS,A_FIT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB38,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB38,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB38,M_JEANS,M_BLK_JEANS,PLN_BODY,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%
HB38,M_JEANS,M_BLK_JEANS,R_FIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB38,M_JEANS,M_BLK_JEANS,RN,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB38,M_JEANS,M_BLU_JEANS,5_PKT,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%,62%
HB38,M_JEANS,M_BLU_JEANS,A_FIT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB38,M_JEANS,M_BLU_JEANS,KNIT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB38,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB38,M_JEANS,M_BLU_JEANS,PLN_BODY,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HB38,M_JEANS,M_BLU_JEANS,R_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB38,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB38,M_JEANS,M_COL_JEANS,5_PKT,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%
HB38,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB38,M_JEANS,M_COL_JEANS,A_FIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB38,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB38,M_JEANS,M_COL_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB38,M_JEANS,M_COL_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB38,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB38,M_JEANS,M_COL_JEANS,PLN_BODY,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HB38,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB38,M_JEANS,M_COL_JEANS,R_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB38,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB38,M_JEANS,M_JGR_JEANS,5_PKT,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB38,M_JEANS,M_JGR_JEANS,C&S,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HB38,M_JEANS,M_JGR_JEANS,C_PKT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB38,M_JEANS,M_JGR_JEANS,CARGO,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB38,M_JEANS,M_JGR_JEANS,CRG_PKT,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%
HB38,M_JEANS,M_JGR_JEANS,CRS_PKT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB38,M_JEANS,M_JGR_JEANS,PLN_BODY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB38,M_JEANS,M_JGR_JEANS,R_FIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB39,M_JEANS,M_BLK_JEANS,5_PKT,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%,56%
HB39,M_JEANS,M_BLK_JEANS,A_FIT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB39,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB39,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB39,M_JEANS,M_BLK_JEANS,PLN_BODY,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
